Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer,Explane
Which statement best describes Amazon Route 53?,1. Amazon Route 53 is a service that enables routing within VPCs in an account,2. Amazon Route 53 is a highly available and scalable Domain Name System (DNS) service,3. Amazon Route 53 enables hybrid cloud models by extending an organization's on-premisenetworks into the AWS cloud,4. Amazon Route 53 is a service for distributing incoming connections between a fleet ofregistered EC2 instances,,2. Amazon Route 53 is a highly available and scalable Domain Name System (DNS) service,"Amazon route 53 is a highly available and scalable domain name system (dns) service The VPC router performs routing within a VPC
Direct Connect enables hybrid cloud models by extending an organization's on-premise networks into the AWS cloud
Auto Scaling is a service for distributing incoming connections between a fleet of registered EC2 instances"
Which type of AWS Elastic Load Balancer should be used if you want to route traffic to targets based on the content of the request such as DNS name or URL path?,1. Application Load Balancer (ALB),2. Network Load Balancer (NLB),3. Classic Load Balancer (CLB),4. AWS Auto Scaling,,1. Application Load Balancer (ALB),"Alb is best suited for load balancing of http and https traffic and provides advanced  request routing targeted at the delivery of modern application architectures, including microservices and containers. Operating at the individual request level (Layer 7), Application Load Balancer routes traffic to targets within Amazon Virtual Private Cloud (Amazon VPC) based on the content of the request
NLB is best suited for load balancing of TCP traffic where extreme performance is required. Operating at the connection level (Layer 4), Network Load Balancer routes traffic to targets within Amazon Virtual Private Cloud (Amazon VPC) and is capable of handling millions of requests per second while maintaining ultra-low latencies
CLB provides basic load balancing across multiple Amazon EC2 instances and operates at both the request level and connection level. Classic Load Balancer is intended for applications that were built within the EC2-Classic network AWS Auto Scaling is not a type of ELB"
Which data warehouse service can be used to query data in an Amazon S3 data lake without loading the data?,1. Amazon RDS,2. AWS Lambda,3. Amazon RedShift,4. Amazon EMR,,3. Amazon RedShift,"Amazon redshift extends data warehouse queries to your data lake, with no loading required. You can run analytic queries against petabytes of data stored locally in Redshift, and directly against exabytes of data stored in Amazon S3
Amazon RDS is not a data warehouse and cannot query data in S3 at rest AWS Lambda runs code as functions and is not a data warehouse
Amazon Elastic Map Reduce (EMR) provides a managed Hadoop service and cannot query data in S3 at rest"
Under the AWS shared responsibility model what is AWS responsible for? (choose 2),1. Physical security of the data center,2. Replacement and disposal of disk drives,3. Configuration of security groups,4. Patch management of operating systems,5. Encryption of customer data,"1. Physical security of the data center, 2. Replacement and disposal of disk drives","Aws are responsible for “security of the cloud”
Customers are responsible for “Security in the Cloud”
AWS are responsible for items such as the physical security of the DC, replacement of old disk drives, and patch management of the infrastructure
Customers are responsible for items such as configuring security groups, network ACLs, patching their operating systems and encrypting their data"
Which feature allows customers to route traffic via private IP addresses between two VPCs?,1. Endpoints,2. Network Address Translation,3. Virtual Private Gateway,4. Peering Connections,,4. Peering Connections,"A peering connection enables you to route traffic via private ip addresses between two peered VPCs
VPC endpoints enable private connectivity to services hosted in AWS, from within your VPC without using an Internet Gateway, VPN, Network Address Translation (NAT) devices, or firewall proxies 
A VPG is the Amazon side of a VPN connection
Network Address Translation (NAT) is used to translate IP addresses when routing between subnets that do not have a fully routable address space"
"Which AWS services can be used to create a ""stateless"" application? (choose 2)",1. Amazon DynamoDB,2. Amazon RDS,3. Amazon SWF,4. Load balancing with session affinity,5. Amazon EBS,"1. Amazon DynamoDB, 3. Amazon SWF","Stateless components include dynamodb which is often used for storing session state to maintain a stateless architecture and SWF which can be used for a multi-step workflow Databases such as RDS are considered stateful
Load balancing with session affinity can be used for horizontal scaling of stateful components
Amazon EBS is not a shared storage service so is not ideal for stateless architectures (use S3 or EFS instead)"
Which of the options below are recommendations in the security pillar of the well-architected framework? (choose 2),1. Enable traceability,2. Apply security at the application layer,3. Automate security best practices,4. Protect data when it is at rest only,5. Expect to be secure,"1. Enable traceability, 3. Automate security best practices","The security pillar includes the ability to protect information, systems, and assets while delivering business value through risk assessments and mitigation strategies There are six design principles for security in the cloud: - Implement a strong identity foundation - Enable traceability
- Apply security at all layers
- Automate security best practices
- Protect data in transit and at rest - Prepare for security events"
Which open-source technology allows you to build and deploy distributed applications inside of software containers?,1. Docker,2. Jenkins,3. Puppet,4. Chef,,1. Docker,"Docker allows you to package a piece of software in a docker image, which is a standardized unit for software development, containing everything the software needs to run: code, runtime, system tools, system libraries, etc. The other options are automation and orchestration tools"
Which of the advantages of cloud listed below is most closely addressed by the capabilities of AWS Auto Scaling?,1. Benefit from massive economies of scale,2. Stop guessing about capacity,3. Stop spending money running and maintaining data centers,4. Go global in minutes,,2. Stop guessing about capacity,Aws auto scaling helps you to adapt to the demand for you application and scale up and down as needed. This means you don't have to guess capacity upfront as you can provision what you need and allows Auto Scaling to manage the scaling
What does an organization need to do in Amazon IAM to enable user access to services being launched in new region?,1. Update the user accounts to allow access from another region,2. Create new user accounts in the new region,3. Enable global mode in IAM to provision the required access,"4. Nothing, IAM is global",,"4. Nothing, IAM is global",Iam is used to securely control individual and group access to aws resources. iam is universal (global) and does not apply to regions
What do Amazon S3 objects consist of? (choose 2),1. Key,2. Userdata,3. Value,4. ARN,5. AMI,"1. Key, 3. Value","Amazon s3 objects consist of: - Key (name of the object)
- Value (data made up of a sequence of bytes) - Version ID (used for versioning) 
- Metadata (data about the data that is stored)"
"Which type of EBS volume should you choose for an application that requires 12,000 IOPS from a single volume?",1. General Purpose SSD,2. Provisioned IOPS SSD,3. Throughput Optimized HDD,4. Cold HDD,,2. Provisioned IOPS SSD,"Provisioned iops ssd volumes support up to 32,000 iops whereas general purpose ssd only supports up to 10,000 per volume
Throughput Optimized HDD supports up to 500 IOPS and Cold HDD supports up to 250 IOPS per volume"
Which type of Amazon Route 53 record set should be used to map a zone apex record to an Amazon Elastic Load Balancer?,1. A,2. AAAA,3. CNAME,4. Alias,,4. Alias,"The alias record is a route 53 specific record type. alias records are used to map resource  record sets in your hosted zone to Amazon Elastic Load Balancing load balancers, Amazon
CloudFront distributions, AWS Elastic Beanstalk environments, or Amazon S3 buckets that are configured as websites. An Alias record can be used for resolving apex / naked domain names (e.g. example.com rather than sub.example.com)
A CNAME record can’t be used for resolving apex / naked domain name
An A record is a simple address record and an AAAA record is used for IPv6"
What is the most cost-effective Amazon S3 storage tier for data that is not often accessed but requires high durability?,1. Amazon S3 Standard,2. Amazon S3 Standard-IA,3. Amazon S3 One Zone-IA,4. Amazon Glacier,,3. Amazon S3 One Zone-IA,"S3 standard-ia is for data that is accessed less frequently, but requires rapid access when needed. S3 Standard-IA offers the high durability, high throughput, and low latency of S3 Standard
S3 One Zone-IA is for data that is accessed less frequently, but requires rapid access when needed. Unlike other S3 Storage Classes which store data in a minimum of three Availability Zones (AZs), S3 One Zone-IA stores data in a single AZ"
Which types of root storage devices are available for Amazon EC2 instances? (choose 2),1. EFS file system,2. EBS volume,3. S3 Bucket,4. Instance Store,5. RAM,"2. EBS volume, 4. Instance Store",The only storage options for a root volume that can be booted from are ebs volumes and Instance Stores
Which of the following are supported event sources for AWS Lambda? (choose 2),1. Amazon S3,2. Amazon EC2,3. Amazon DynamoDB,4. Amazon RedShift,5. AWS Direct Connect,"1. Amazon S3, 3. Amazon DynamoDB","An event source is an aws service or developer-created application that produces events that trigger an AWS Lambda function to run. Amazon S3 and DynamoDB are supported event sources for AWS Lambda
See the AWS link below for a full list of supported event sources"
"Which type of Amazon Route 53 routing policy allows you to specify a numerical value per IP address, totalling 100, that favors addresses with higher values?",1. Latency based,2. Failover,3. Weighted,4. Geo-location,,3. Weighted,"Similar to simple but you can specify a weight per ip address. you create records that have the same name and type and assign each record a relative weight. Numerical value that favors one IP over another and must total 100
Failover provides failover to a secondary IP address and is used for active-passive configurations
With latency based AWS maintains a database of latency from different parts of the world,  focusses on improving performance by routing to the region with the lowest latency
Geo-location Caters to different users in different countries and different languages. Contains users within a particular geography and offers them a customized version of the workload based on their specific needs. Geolocation can be used for localizing content and presenting some or all of your website in the language of your users"
Which statement is correct in relation to the AWS Shared Responsibility Model?,1. Customers are responsible for security of the cloud,2. AWS are responsible for encrypting customer data,3. Customers are responsible for patching storage systems,4. AWS are responsible for the security of regions and availability zones,,4. AWS are responsible for the security of regions and availability zones,"Aws are responsible for “security of the cloud”. aws is responsible for protecting the infrastructure that runs all of the services offered in the AWS Cloud. This infrastructure is composed of the hardware, software, networking, and facilities that run AWS Cloud services, and this includes regions, availability zones and edge locations
Customers are responsible for “Security in the Cloud”. This includes encrypting customer data, patching operating systems but not patching or maintaining the underlying infrastructure"
Which Amazon RDS deployment type is best used to enable fault tolerance in the event of the failure of an availability zone?,1. Multiple Availability Zones,2. Multiple Regions,3. Read Replicas,4. Write Replicas,,1. Multiple Availability Zones,"Multi az provides a mechanism to failover the rds database to another synchronously replicated copy in the event of the failure of an AZ
There is no option for multiple region failover of Amazon RDS
Read replicas are used for offloading read traffic from a primary database but cannot be used for writing and cannot be used to failover the primary database There is no such thing as write replicas"
"Which AWS service lets you add user sign up, sign-in and access control to web and mobile apps?",1. AWS Directory Service,2. AWS Cognito,3. AWS Artifact,4. AWS CloudHSM,,2. AWS Cognito,"Amazon cognito lets you add user sign-up, sign-in, and access control to your web and mobile apps quickly and easily. Amazon Cognito scales to millions of users and supports sign-in with social identity providers, such as Facebook, Google, and Amazon, and enterprise identity providers via SAML 2.0 AWS Directory Service for Microsoft Active Directory, also known as AWS Managed
Microsoft AD, enables your directory-aware workloads and AWS resources to use managed Active Directory in the AWS Cloud
AWS Artifact is your go-to, central resource for compliance-related information that matters to you
AWS CloudHSM is a cloud-based hardware security module (HSM) that enables you to easily generate and use your own encryption keys on the AWS Cloud"
Which of the options below are recommendations in the reliability pillar of the well-architected framework? (choose 2),1. Test recovery procedures,2. Manually recover from failure,3. Scale vertically using big systems,4. Stop guessing about capacity,5. Manage change in manual processes,"1. Test recovery procedures, 4. Stop guessing about capacity","The reliability pillar includes the ability of a system to recover from infrastructure or service disruptions, dynamically acquire computing resources to meet demand, and mitigate disruptions such as misconfigurations or transient network issues
There are five design principles for reliability in the cloud: - Test recovery procedures
- Automatically recover from failure
- Scale horizontally to increase aggregate system availability - Stop guessing capacity
- Manage change in automation"
Which AWS service is a Natural Language Processing (NLP) service that uses machine learning to find insights and relationships in text?,1. Amazon Transcribe,2. Amazon Comprehend,3. Amazon Rekognition,4. Amazon Sagemaker,,2. Amazon Comprehend,"Amazon comprehend is a natural language processing (nlp) service that uses machine learning to find insights and relationships in text. The service identifies the language of the text; extracts key phrases, places, people, brands, or events; understands how positive or negative the text is; analyzes text using tokenization and parts of speech; and automatically organizes a collection of text files by topic
Amazon Transcribe is an automatic speech recognition (ASR) service that makes it easy for developers to add speech-to-text capability to their applications
Amazon Rekognition makes it easy to add image and video analysis to your applications
Amazon SageMaker is a fully-managed platform that enables developers and data scientists to quickly and easily build, train, and deploy machine learning models at any scale"
Which of the following can be assigned to an IAM user? (choose 2),1. An access key ID and secret access key,2. A password for logging into Linux,3. A password for access to the management console,4. A key pair,5. An SSL/TLS certificate,"1. An access key ID and secret access key, 3. A password for access to the management console","An iam user is an entity that represents a person or service. users can be assigned an access key ID and secret access key for programmatic access to the AWS API, CLI, SDK, and other development tools and a password for access to the management console
Key pairs are used with Amazon EC2 as a method of using public key encryption to securely access EC2 instances
You cannot assign an IAM user with a password for logging into a Linux instance You cannot assign an SSL/TLS certificate to a user"
Which Amazon namespace is used to uniquely identify AWS resources?,1. AMI,2. API,3. ARN,4. ACL,,3. ARN,"Amazon resource names (arns) uniquely identify aws resources. we require an arn when you need to specify a resource unambiguously across all of AWS, such as in IAM policies, Amazon Relational Database Service (Amazon RDS) tags, and API calls
An application programming interface (API) is a set of subroutine definitions, communication protocols, and tools for building software
An Amazon Machine Image (AMI) provides the information required to launch an instance, which is a virtual server in the cloud
Amazon S3 access control lists (ACLs) enable you to manage access to buckets and objects"
"Which Amazon EC2 billing option allows gives you low cost, maximum flexibility, no upfront costs or commitment, and you only pay for what you use?",1. Reserved Instances,2. Spot Instances,3. Dedicated Host,4. On-Demand Instances,,4. On-Demand Instances,"With on-demand instances you pay for hours used with no commitment. there are no upfront costs so you have maximum flexibility 
Spot instances are used for getting a very low price which you bid on. You lose some flexibility as you are constrained by market prices and your workloads can be terminated if the market price exceeds your bid price
Reserved instances are based on a commitment to 1 or 3 years in exchange for a large discount
Dedicated hosts use physically dedicated EC2 servers to isolate your workloads and are expensive"
What is the difference between an EBS volume and an Instance store?,1. EBS volumes are object storage devices whereas Instance store volume are block based,2. Instance store volumes are ephemeral whereas EBS volumes are persistent storage,3. Instance store volumes can be used with all EC2 instance types whereas EBS cannot,4. EBS volumes are file-level storage devices whereas Instance store volumes are object-based,,2. Instance store volumes are ephemeral whereas EBS volumes are persistent storage,"Ebs-backed means the root volume is an ebs volume and storage is persistent. instance store-backed means the root volume is an instance store volume and storage is not persistent Both EBS and Instance store volumes are block-based storage devices
EBS volumes can be used with all EC2 instance types whereas Instance store volumes are more limited in compatibility"
Which of the below are valid use cases for using AWS services to implement real-time auditing? (choose 2),1. Use Amazon Inspector to monitor for compliance,2. Use Amazon CloudWatch for monitoring API calls,3. Use Amazon CloudTrail to monitor application performance,4. Use AWS IAM to store log files,5. Use AWS Lambda to scan log files,"1. Use Amazon Inspector to monitor for compliance, 5. Use AWS Lambda to scan log files","Amazon inspector is an automated security assessment service that helps improve the security and compliance of applications deployed on AWS. Amazon Inspector automatically assesses applications for exposure, vulnerabilities, and deviations from best practices
You can use AWS Lambda, Amazon EMR, the Amazon Elasticsearch Service, or third- party tools from the AWS Marketplace to scan logs to detect things like unused permissions, overuse of privileged accounts, usage of keys, anomalous logins, policy violations, and system abuse
CloudWatch is used for performance monitoring whereas CloudTrail is used for logging API calls
AWS IAM is not used for storage of log files"
Which Compute service should be used for running a Linux operating system upon which you will install custom software?,1. Amazon ECS,2. Amazon EC2,3. AWS Lambda,4. Amazon EKS,,2. Amazon EC2,"Amazon ec2 should be used when you need access to a full operating system instance
Amazon Elastic Container Service (ECS) and Amazon Elastic Container Service for Kubernetes (EKS) are used for running software containers, not full operating system instances
AWS Lambda runs code as functions in response to events"
What is the scope of an Amazon Virtual Private Cloud (VPC)?,1. It spans multiple subnets,2. It spans a single CIDR block,3. It spans all Availability Zones in all regions,4. It spans all Availability Zones within a region,,4. It spans all Availability Zones within a region,"A virtual private cloud (vpc) is a virtual network dedicated to your aws account. a vpc spans all the Availability Zones in the region
You can have multiple CIDR blocks in a VPC
A VPC spans AZs, subnets are created within AZs"
Which of the below are valid options within the VPC Wizard? (choose 2),1. VPC with Two Public Subnets,2. VPC with Private Subnets,3. VPC with a Single Public Subnet,4. VPC with Public and Private Subnets and Hardware VPN Access,5. VPC with a Private Subnet Only and Software VPN Access,"3. VPC with a Single Public Subnet, 4. VPC with Public and Private Subnets and Hardware VPN Access","The options available in the vpc wizard are: - VPC with a Single Public Subnet 
- VPC with Public and Private Subnets
- VPC with Public and Private Subnets and Hardware VPN Access
- VPC with a Private Subnet Only and Hardware VPN Access"
Which type of AWS Storage Gateway can be used to backup data with popular backup software?,1. File Gateway,2. Volume Gateway,3. Gateway Virtual Tape Library,4. Backup Gateway,,3. Gateway Virtual Tape Library,"The aws storage gateway service enables hybrid storage between on-premises environments and the AWS Cloud. The Gateway Virtual Tape Library can be used with popular backup software such as NetBackup, Backup Exec and Veeam. Uses a virtual media changer and tape drives
There is no such thing as a Backup Gateway in the AWS products
File gateway provides a virtual on-premises file server, which enables you to store and retrieve files as objects in Amazon S3
The volume gateway represents the family of gateways that support block-based volumes, previously referred to as gateway-cached and gateway-stored modes"
Which type of security control can be used to deny network access from a specific IP address?,1. Security Group,2. Network ACL,3. AWS WAF,4. AWS Shield,,2. Network ACL,"A network acl supports allow and deny rules. you can create a deny rule specifying a specific IP address that you would like to block A Security Group only supports allow rules
AWS WAF is a web application firewall
AWS Shield is a managed Distributed Denial of Service (DDoS) protection service"
Where can resources be launched when configuring AWS Auto Scaling?,1. Multiple AZs and multiple regions,2. Multiple AZs within a region,3. A single subnet,4. Multiple VPCs,,2. Multiple AZs within a region,Aws auto scaling is configured within the ec2 console and can launch instances within a VPC across multiple AZs. It cannot launch resources into another region
Which of the following security related activities are AWS customers responsible for? (choose 2),1. Installing patches on network devices,2. Implementing data center access controls,3. Implementing IAM password policies,4. Installing patches on Windows operating systems,5. Secure disposal of faulty disk drives,"3. Implementing IAM password policies, 4. Installing patches on Windows operating systems","Customers are responsible for configuring their own iam password policies and installing operating system patches on Amazon EC2 instances
AWS are responsible for installing patches on physical hardware devices, data center access controls and secure disposal of disk drives"
"In addition to DNS services, what other services does Amazon Route 53 provide? (choose 2)",1. DHCP,2. Domain registration,3. Routing,4. Traffic flow,5. Caching,"2. Domain registration, 4. Traffic flow","Route 53 features include domain registration, dns, traffic flow, health checking, and failover
Route 53 does not support DHCP, routing or caching"
Which storage type can be mounted using the NFS protocol to many EC2 instances simultaneously?,1. Amazon EBS,2. Amazon Instance Store,3. Amazon S3,4. Amazon EFS,,4. Amazon EFS,"Efs is a fully-managed service that makes it easy to set up and scale file storage in the
Amazon Cloud. EFS uses the NFSv4.1 protocol. Can concurrently connect 1 to 1000s of EC2 instances, from multiple AZs
EBS volumes can only be attached to a single EC2 instance at a time and are block devices (not NFS)
Amazon S3 is an object store and is connected to using a RESTful protocol over HTTP 
Amazon Instance Store is a type of ephemeral block-based volume that can be attached to a single EC2 instance at a time"
What are the fundamental charges for an Amazon EC2 instance? (choose 2),1. Compute uptime,2. Data storage,3. Basic monitoring,4. AMI,5. Private IP address,"1. Compute uptime, 2. Data storage","When using ec2 instances you are charged for the compute uptime of the instance based on the family and type you chose. You are also charged for the amount of data provisioned Basic monitoring is free for EC2, detailed monitoring is charged Amazon Machine Images (AMIs) are not chargeable You do not pay for private IP addresses"
What are the fundamental charges for Elastic Block Store (EBS) volumes? (choose 2),1. The amount of data storage consumed,2. The amount of data storage provisioned,3. Provisioned IOPS,4. Inbound data transfer,5. Number of snapshots,"2. The amount of data storage provisioned, 3. Provisioned IOPS","With ebs volumes you are charged for the amount of data provisioned (not consumed) per month. This means you can have empty space within a volume and you still pay for it
With provisioned IOPS volumes you are also charged for the amount you provision in IOPS You pay for the storage consumed by snapshots, not by the number of snapshots"
Which tool can be used to provide real time guidance on provisioning resources following AWS best practices?,1. AWS Personal Health Dashboard,2. AWS Simple Monthly Calculator,3. AWS Trusted Advisor,4. AWS Inspector,,3. AWS Trusted Advisor,"Trusted advisor is an online resource that helps to reduce cost, increase performance and improve security by optimizing your AWS environment. Trusted Advisor provides real time guidance to help you provision your resources following best practices
Inspector is an automated security assessment service that helps improve the security and compliance of applications deployed on AWS AWS Personal Health Dashboard provides alerts and remediation guidance when AWS is experiencing events that may impact you
The AWS Simple Monthly Calculator helps you to estimate the cost of using AWS services"
What types of monitoring can Amazon CloudWatch be used for? (choose 2),1. Application performance,2. API access,3. Operational health,4. Infrastructure,5. Data center,"1. Application performance, 3. Operational health","Amazon cloudwatch is a monitoring service for aws cloud resources and the applications you run on AWS. CloudWatch performs performance monitoring and can monitor custom metrics generated by applications and the operational health of your AWS resources Amazon CloudTrail monitors API access
Infrastructure and data center monitoring is not accessible to AWS customers"
"When using an Elastic Load Balancer, which process checks for connections requests, using a configured protocol and port?",1. Rule,2. Listener,3. Action,4. Condition,,2. Listener,"A listener is a process that checks for connection requests, using the protocol and port that you configure. The rules that you define for a listener determine how the load balancer routes requests to the targets in one or more target groups
Each listener has a default rule, and you can optionally define additional rules. Each rule consists of a priority, one or more actions, an optional host condition, and an optional path condition 
Each rule action has a type, an order, and information required to perform the action. The following are the supported action types
There are two types of rule conditions: host and path. Each rule can have up to one host condition and up to one path condition"
Which two types of database engine can be used with Amazon ElastiCache? (choose 2),1. Memcached,2. HANA,3. Redis,4. MongoDB,5. MemSQL,"1. Memcached, 3. Redis","Elasticache is a web service that makes it easy to deploy and run memcached or redis protocol-compliant server nodes in the cloud. The in-memory caching provided by
ElastiCache can be used to significantly improve latency and throughput for many read-heavy application workloads or compute-intensive workloads
Only the Memcached and Redis database engines can be used with ElastiCache, the others in the list are all in-memory databases but are not supported"
Which AWS service is a data warehouse that uses columnar data storage and is suited to analytic and reporting workloads against very large data sets?,1. Amazon RDS,2. Amazon RedShift,3. Amazon DynamoDB,4. Amazon Aurora,,2. Amazon RedShift,"A data warehouse is a specialized type of relational database, optimized for analysis and reporting of large amounts of data. It can be used to combine transactional data from disparate sources making them available for analysis and decision-making. Amazon Redshift is a managed data warehouse service that is designed to operate at less than a tenth the cost of traditional solutions
Amazon Redshift achieves efficient storage and optimum query performance through a combination of massively parallel processing (MPP), columnar data storage, and targeted data compression encoding schemes. RedShift is particularly suited to analytic and reporting workloads against very large data sets
Amazon RDS (and Aurora, which is an RDS DB), is a relational, transactional DB not a data warehouse
Amazon DynamoDB is a NoSQL DB used for transactional systems also"
What are two components of Amazon S3? (choose 2),1. Buckets,2. Directories,3. Objects,4. File systems,5. Block devices,"1. Buckets, 3. Objects","Amazon s3 is an object-based storage system that is accessed using a restful api over
HTTP(S). It consists of buckets, which are root level folders, and objects, which are the files, images etc. that you upload 
The terms directory, file system and block device do not apply to S3"
"When using Amazon RDS databases, which items are you charged for? (choose 2)",1. Inbound data transfer,2. Multi AZ,3. Backup up to the DB size,4. Outbound data transfer,5. Single AZ,"2. Multi AZ, 4. Outbound data transfer","With amazon rds you are charged for the type and size of database, the uptime, any additional storage of backup (above the DB size), requests, deployment type (e.g. you pay for multi AZ), and data transfer outbound"
You need to resolve a domain name to a target domain name for a record that is hosted externally to AWS. Which record type can you configure in Route 53?,1. Alias,2. NS,3. CNAME,4. SPF,,3. CNAME,"Both cname records and alias records can be used to map a domain name to a target domain name. However, only a CNAME record can be used to map to a target domain  external to AWS. Alias records are used to map resource record sets in your hosted zone to Amazon Elastic
Load Balancing load balancers, Amazon CloudFront distributions, AWS Elastic Beanstalk environments, or Amazon S3 buckets that are configured as websites
An NS record is a Name Server record an identifies DNS servers
An SPF record is a Sender Policy Framework record and identifies the mail servers that are allowed to send mail for a domain"
Which feature of AWS IAM enables you to identify unnecessary permissions that have been assigned to users?,1. Role Advisor,2. Access Advisor,3. Permissions Advisor,4. Group Advisor,,2. Access Advisor,"The iam console provides information about when iam users and roles last attempted to access AWS services. This information is called service last accessed data. This data can help you identify unnecessary permissions so that you can refine your IAM policies to better adhere to the principle of ""least privilege."" That means granting the minimum permissions required to perform a specific task. You can find the data on the Access Advisor tab in the
IAM console by examining the detail view for any IAM user, group, role, or managed policy"
How can you enable access to AWS accounts using credentials from an on-premise corporate directory?,1. SSO using Cognito,2. Federation using IAM,3. Replication using Simple AD,4. AWS Organizations,,2. Federation using IAM,"You can enable single sign-on (sso) to your aws accounts by using federation and aws Identity and Access Management (IAM). By federating your AWS accounts, users can sign in to the AWS Management Console and AWS Command Line Interface (CLI) using credentials from your corporate directory Amazon Cognito helps you add user sign-up and sign-in to your mobile and web apps easily, it is not used for connecting corporate directories
Simple AD is an inexpensive Active Directory-compatible service with common directory features. It is a standalone directory on AWS and cannot replicate with an on-premise directory AWS Organizations offers policy-based management for multiple AWS accounts. With
Organizations, you can create groups of accounts, automate account creation, apply and manage policies for those group. It is not used for SSO"
What billing timeframes are available for Amazon EC2 on-demand instances? (choose 2),1. Per second,2. Per minute,3. Per hour,4. Per day,5. Per week,"1. Per second, 3. Per hour","With ec2 you are billed either by the second, for some linux instances, or by the hour for all other instance types"
Which service can be used to assign a policy to a group?,1. AWS IAM,2. Amazon Cognito,3. Amazon STS,4. AWS Shield,,1. AWS IAM,"Iam is used to securely control individual and group access to aws resources. groups are collections of users and have policies attached to them. You can use IAM to attach a policy to a group
Amazon Cognito is used for authentication using mobile apps
The AWS Security Token Service (STS) is a web service that enables you to request temporary, limited-privilege credentials for IAM users or for users that you authenticate (federated users)
AWS Shield is a managed Distributed Denial of Service (DDoS) protection service that safeguards applications running on AWS"
Which AWS service uses a highly secure hardware storage device to store encryption keys?,1. AWS WAF,2. AWS IAM,3. AWS CloudHSM,4. Amazon Cloud Directory,,3. AWS CloudHSM,"Aws cloudhsm is a cloud-based hardware security module (hsm) that allows you to easily add secure key storage and high-performance crypto operations to your AWS applications
Amazon Cloud Directory enables you to build flexible cloud-native directories for organizing  hierarchies of data along multiple dimensions
AWS WAF is a web application firewall that helps protect your web applications from common web exploits
AWS Identity and Access Management (IAM) is used for managing users, groups, and roles in AWS"
Using Amazon S3 what method can be used to automatically copy objects from one region to another?,1. Cross-region synchronization,2. Cross-zone replication,3. Cross-region replication,4. Cross-account replication,,3. Cross-region replication,"Crr is an amazon s3 feature that automatically replicates data across aws regions. with
CRR, every object uploaded to an S3 bucket is automatically replicated to a destination bucket in a different AWS Region that you choose. CRR is configured at the S3 bucket level. Versioning must be enabled for both the source and destination buckets"
An organization has multiple AWS accounts and uses a mixture of on-demand and reserved instances. One account has a considerable amount of unused reserved instances. How can the organization reduce their costs? (choose 2),1. Redeem their reserved instances,2. Use Spot instances instead,3. Create an AWS Organization configuration linking the accounts,4. Switch to using placement groups,5. Setup consolidated billing between the accounts,"3. Create an AWS Organization configuration linking the accounts, 5. Setup consolidated billing between the accounts","Aws organizations allow you to consolidate multiple aws accounts into an organization that you create and centrally manage. Unused reserved instances (RIs) for EC2 are applied across the group so the organization can utilize their unused reserved instance instead of consuming on-demand instances which will lower their costs
You cannot redeem your reserved instances. You can sell them on the AWS marketplace however
Using placement groups will not lower their costs
Spot instance pricing is variable so it is not guaranteed to lower the cost and it is not suitable for workloads that cannot be unexpectedly terminated by AWS"
"Which type of connection should be used to connect an on-premises data center with the AWS cloud that is high speed, low latency and does not use the Internet?",1. AWS Managed VPN,2. VPC Endpoints,3. Direct Connect,4. IPSec VPN,,3. Direct Connect,"Aws direct connect is a network service that provides an alternative to using the internet to connect a customer’s on premise sites to AWS. Data is transmitted through a private network connection between AWS and a customer’s datacenter or corporate network. Direct Connect is high bandwidth, and low latency
The AWS Managed VPN (which is a type of IPSec VPN) is fast to setup but uses the public Internet and therefore latency is not as good and is unpredictable
VPC endpoint enable private connectivity to services hosted in AWS, from within your VPC without using an Internet Gateway, VPN, Network Address Translation (NAT) devices, or  firewall proxies"
What are two examples of the advantages of cloud computing? (choose 2),1. Trade operating costs for capital costs,2. Benefit from massive economies of scale,3. Increase speed and agility,4. Trade variable expense for capital expense,5. Secure data centers,"2. Benefit from massive economies of scale, 3. Increase speed and agility","The 6 advantages of cloud aws discuss are:
- Trade capital expense for variable expense
- Benefit from massive economies of scale - Stop guessing about capacity
- Increase speed and agility
- Stop spending money running and maintaining data centers - Go global in minutes
Secure data centers are not a reason to move to the cloud. Your on-premises data centers should also be secure"
Which AWS service provides a single location to track the progress of application migrations across multiple AWS and partner solutions?,5. AWS Database Migration Service,1. AWS Server Migration Service,2. AWS Migration Hub,3. AWS Batch,,2. AWS Migration Hub,"Aws migration hub provides a single location to track the progress of application migrations across multiple AWS and partner solutions. Using Migration Hub allows you to choose the
AWS and partner migration tools that best fit your needs, while providing visibility into the status of migrations across your portfolio of applications. This includes AWS Database Migration Service, AWS Server Migration Service, and partner migration tools
AWS Database Migration Service helps you migrate databases to AWS quickly and securely
AWS Server Migration Service (SMS) is an agentless service which makes it easier and faster for you to migrate thousands of on-premises workloads to AWS With AWS Batch, you simply package the code for your batch jobs, specify their dependencies, and submit your batch job using the AWS Management Console, CLIs, or SDK"
Which Amazon EC2 feature provides a static IPv4 public IP address that does not change when the instance is rebooted?,1. Elastic IP,2. Dynamic IP,3. Elastic Network,4. Static IP,,1. Elastic IP,"An elastic ip address is a static ipv4 address designed for dynamic cloud computing. an
Elastic IP address is associated with your AWS account. Elastic IP addresses do not change when the instance is rebooted and can be moved between instances as required All other answers are bogus"
